"Date,AZN,DGE,BAE,BARC,BP,HSBC,LLOYDS,RR,SHEL,ULVR"
"08/04/2019,40.86,3109,496.3,164.66,559.6,648.6,62.62,310.22,65.3,4399.5"
"09/04/2019,40.69,3120,504.2,162.76,568.6,653.1,62.21,318.05,64.57,4402"
"10/04/2019,40.54,3128.5,504.2,162.12,578.2,652.2,62.62,312.56,65.01,4413"
"11/04/2019,39.84,3130.5,504,161.44,574,655.3,62.92,308.44,64.92,4418.5"
"12/04/2019,39.52,3123.5,503.4,161.14,576.2,652.7,62.8,305.08,64.5,4394"
"15/04/2019,39.81,3122.5,506.6,163.68,572.6,651.4,64.14,301.99,64.58,4393"
"16/04/2019,39.3,3115.5,508.8,165.96,570.6,658.7,64.8,306.04,64.3,4364"
"17/04/2019,38.77,3120.5,504,167.68,569.9,655.9,65.17,305.76,64.59,4346"
"18/04/2019,38.8,3117.5,509.8,167.4,568.1,662.8,65.84,309.26,64.2,4372"
"22/04/2019,38.75,3112,511.2,168.92,572,665.3,66.57,311.25,65.24,4378"
"23/04/2019,38.69,3126,491.9,169.4,567.7,666.5,65.9,311.53,65,4503.5"
"24/04/2019,38.72,3180.5,493.1,166.58,582.5,667.6,65.57,314.07,63.46,4527.5"
"25/04/2019,39.06,3181.5,493.4,166.38,570.2,662.7,64.76,316.47,63.62,4533"
"26/04/2019,37.99,3176,492.8,160.4,569.3,661.9,63.61,318.12,63.06,4553"
"29/04/2019,38.18,3223,495.8,161.04,556.1,665.4,63,314.34,63.13,4587"
"30/04/2019,37.66,3206,496.9,164.7,552.5,669.5,63.6,316.68,63.53,4610"
"01/05/2019,37.35,3233.5,494,164.28,559,667.1,62.57,313.86,62.72,4657.5"
"02/05/2019,37.62,3231,491.9,163.54,552,664.9,63.6,314.27,63.7,4630"
"03/05/2019,38.41,3198,482.1,164.54,547.5,667.7,62.8,316.2,64.29,4589.5"
"06/05/2019,38.35,3207.5,481.5,163.68,548.1,680.6,62.64,320.59,64.11,4603"
"07/05/2019,37.98,3212,471.9,159.42,533.2,662.2,61.81,313.18,62.23,4593"
"08/05/2019,38.3,3240.5,470,159.56,538.3,659,61.82,313.79,62.71,4629"
